fakeid,date_obs,mjd_obs,expnum,exptime,ra,dec,band,ccdnum
400305,2013-09-24T04:00:40.521595,56559.16713567,238042,175.00000000,0.5972454461515737,-0.09624220280252152,g,52
400305,2013-09-24T04:04:03.978992,56559.16949050,238043,150.00000000,0.5972447935673736,-0.09624258274739374,r,52
400305,2013-09-24T04:07:02.635085,56559.17155828,238044,200.00000000,0.5972442205134371,-0.0962429163746082,i,52
400305,2013-09-24T04:10:51.100162,56559.17420255,238045,200.00000000,0.5972434876668836,-0.09624334301284294,z,52
400305,2013-09-24T04:14:41.197140,56559.17686571,238046,200.00000000,0.5972427495559196,-0.09624377269439716,z,52
400305,2013-09-28T06:13:27.340589,56563.25934422,239010,175.00000000,0.5960772044928082,-0.09689691651553302,g,52
400305,2013-09-28T06:16:51.877667,56563.26171155,239011,150.00000000,0.5960765095100778,-0.09689729164893643,r,52
400305,2013-09-28T06:19:50.439624,56563.26377824,239012,200.00000000,0.5960759027689672,-0.09689761913859274,i,52
400305,2013-09-28T06:23:38.962230,56563.26642317,239013,200.00000000,0.5960751262412616,-0.09689803825288101,z,52
400305,2013-09-28T06:27:28.837847,56563.26908377,239014,200.00000000,0.5960743450890451,-0.09689845984274956,z,52
400305,2013-10-02T03:46:32.628432,56567.15732209,240509,175.00000000,0.59490492111659,-0.09750769037406469,g,52
400305,2013-10-02T03:49:58.357371,56567.15970321,240510,150.00000000,0.5949041885767643,-0.09750805886837849,r,52
400305,2013-10-02T03:52:58.119744,56567.16178379,240511,200.00000000,0.5949035484804264,-0.09750838084732938,i,52
400305,2013-10-02T03:56:49.363337,56567.16446022,240512,200.00000000,0.5949027250485838,-0.09750879502933865,z,52
400305,2013-10-02T04:00:39.029753,56567.16711840,240513,200.00000000,0.5949019072088183,-0.09750920637884869,z,52
400305,2013-10-10T03:16:06.119334,56575.13618194,242453,175.00000000,0.5923523581339252,-0.09870301116355168,g,56
400305,2013-10-10T03:19:29.337755,56575.13853400,242454,150.00000000,0.5923515799031048,-0.09870335034878229,r,56
400305,2013-10-10T03:22:28.907064,56575.14061235,242455,200.00000000,0.5923508922261711,-0.09870365005485224,i,56
400305,2013-10-10T03:26:18.367376,56575.14326814,242456,200.00000000,0.5923500134719948,-0.09870403302054574,z,56
400305,2013-10-10T03:30:09.076626,56575.14593839,242457,200.00000000,0.592349129917722,-0.09870441805957937,z,56
400305,2013-10-14T03:00:34.370496,56579.12539781,243911,175.00000000,0.5910146536311619,-0.09926527622711322,g,56
400305,2013-10-14T03:03:58.264274,56579.12775769,243912,150.00000000,0.5910138525434001,-0.09926560080453664,r,56
400305,2013-10-14T03:06:57.119591,56579.12982777,243913,200.00000000,0.5910131498216793,-0.0992658855152182,i,56
400305,2013-10-14T03:10:45.526661,56579.13247137,243914,200.00000000,0.591012252399481,-0.09926624909375305,z,56
400305,2013-10-14T03:14:35.492302,56579.13513301,243915,200.00000000,0.591011348840138,-0.09926661514068098,z,56
405109,2013-11-10T01:16:58.014078,56606.05344924,252523,175.00000000,0.6385110497874956,-0.10791040915610244,g,24
405109,2013-11-10T01:20:20.402119,56606.05579169,252524,150.00000000,0.6385101784287254,-0.10791064144532872,r,24
405109,2013-11-10T01:23:19.355070,56606.05786291,252525,200.00000000,0.6385094079730653,-0.1079108468219389,i,24
405109,2013-11-10T01:27:07.805558,56606.06050701,252526,200.00000000,0.6385084244211949,-0.10791110898404159,z,24
405109,2013-11-10T01:30:58.420655,56606.06317616,252527,200.00000000,0.6385074315592927,-0.10791137360663029,z,24
405109,2013-11-13T02:18:36.198780,56609.09625230,253380,175.00000000,0.6373858984482978,-0.10819663662746339,g,24
405109,2013-11-13T02:22:03.267648,56609.09864893,253381,150.00000000,0.6373850180605843,-0.1081968497206241,r,24
405109,2013-11-13T02:25:02.821368,56609.10072710,253382,200.00000000,0.6373842546661692,-0.10819703448225317,i,24
405109,2013-11-13T02:28:50.906525,56609.10336697,253383,200.00000000,0.6373832849452818,-0.10819726916169284,z,24
405109,2013-11-13T02:32:42.706875,56609.10604985,253384,200.00000000,0.6373822994413868,-0.1081975076393542,z,24
405109,2013-11-19T01:15:46.675901,56615.05262356,255870,175.00000000,0.6352334003312325,-0.10866468451176751,g,24
