expnum,date,ra,dec,exptime,band,tag,object
370114,2014/10/22 00:17:19,21:36:28.85,-62:31:11.9,90.0,z,None,DES survey hex -360-633 tiling 4
370115,2014/10/22 00:20:27,22:32:21.80,-64:18:44.1,90.0,r,None,DES survey hex -219-643 tiling 1
370116,2014/10/22 00:23:12,21:29:01.64,-45:51:56.0,90.0,i,None,DES survey hex -370-450 tiling 3
370117,2014/10/22 00:25:10,21:32:24.87,-44:15:33.6,90.0,r,None,DES survey hex -370-450 tiling 4
370118,2014/10/22 00:27:37,21:00:17.08,-43:32:56.8,90.0,r,None,DES survey hex -439-440 tiling 2
370119,2014/10/22 00:29:35,20:59:28.89,-41:31:12.9,90.0,r,None,DES survey hex -441-420 tiling 2
370120,2014/10/22 00:31:34,21:03:34.63,-41:59:37.5,90.0,g,None,DES survey hex -441-420 tiling 1
370121,2014/10/22 00:33:36,21:08:36.58,-42:32:05.3,90.0,r,None,DES survey hex -418-430 tiling 2
370122,2014/10/22 00:35:46,21:22:32.97,-43:14:41.6,90.0,r,None,DES survey hex -394-440 tiling 4
370123,2014/10/22 00:37:56,21:35:49.52,-43:32:57.3,90.0,i,None,DES survey hex -350-440 tiling 2
370124,2014/10/22 00:40:06,21:16:40.47,-41:31:13.2,90.0,r,None,DES survey hex -398-420 tiling 2
370125,2014/10/22 00:42:05,21:16:40.45,-41:31:13.0,90.0,z,None,DES survey hex -398-420 tiling 2
370126,2014/10/22 00:44:10,21:30:30.26,-42:13:49.8,90.0,r,None,DES survey hex -374-430 tiling 4
370127,2014/10/22 00:46:09,21:33:52.02,-41:31:12.7,90.0,g,None,DES survey hex -355-420 tiling 2
370128,2014/10/22 00:48:30,20:52:51.78,-45:51:56.3,90.0,z,None,DES survey hex -460-450 tiling 3
370129,2014/10/22 00:50:57,21:36:54.53,-48:19:02.3,90.0,g,None,DES survey hex -358-491 tiling 4
370130,2014/10/22 00:53:06,21:21:17.85,-47:36:25.8,90.0,g,None,DES survey hex -385-481 tiling 2
370131,2014/10/22 00:55:16,21:36:54.55,-48:19:02.2,90.0,r,None,DES survey hex -358-491 tiling 4
370132,2014/10/22 00:57:16,21:35:33.77,-48:54:33.0,90.0,i,None,DES survey hex -353-481 tiling 3
370134,2014/10/22 01:00:48,21:04:30.96,-44:01:21.5,90.0,z,None,DES survey hex -439-440 tiling 1
370135,2014/10/22 01:03:28,21:08:02.66,-62:31:12.2,90.0,r,None,DES survey hex -431-633 tiling 4
370136,2014/10/22 01:05:47,21:36:28.84,-62:31:11.8,90.0,i,None,DES survey hex -360-633 tiling 4
370137,2014/10/22 01:07:45,21:27:29.01,-62:05:49.9,90.0,r,None,DES survey hex -370-613 tiling 3
370138,2014/10/22 01:09:48,21:38:34.21,-61:30:19.7,90.0,i,None,DES survey hex -355-623 tiling 4
370139,2014/10/22 01:11:50,21:41:07.84,-64:32:56.2,90.0,i,None,DES survey hex -348-653 tiling 4
